Frame,Mean Temperature,Propagation,transition points,numer of above,gradient x,gradient y,std,histogram
0,104.5966406,0,1,165956,2388,-22475,30.80029059,[  286  5250 18359 38531 51139 42783 27399  7593   602    58]
1,104.8503698,0,1,166211,2415.5,-22451,30.79263087,[  336  6333 19120 38347 52063 47029 22061  6239   443    29]
2,104.8903177,0,1,166256,2439.5,-22381.5,30.80241309,[  338  6333 19073 38347 52057 46971 22159  6250   443    29]
3,104.9681458,0,1,166355,2382,-22469,30.80614481,[  348  6321 18976 38289 52009 47049 22300  6240   438    30]
4,104.992526,0,1,166348,2426.5,-22496.5,30.81484493,[  352  6314 18986 40553 55104 46161 18266  5890   354    20]
5,105.1208333,0,1,166501,2435.5,-22453.5,30.82238758,[  448  6826 19495 41968 52302 46005 18642  5941   351    22]
6,105.1460052,0,1,166514,2447,-22467,30.82489474,[  331  6234 18921 40430 55043 45993 18747  5922   359    20]
7,105.1593854,0,1,166533,2435.5,-22497.5,30.82458996,[  445  6758 19555 41833 52323 45997 18774  5935   359    21]
8,105.1273646,0,1,166501,2486,-22504.5,30.82329674,[  451  6777 19537 41874 52254 46151 18675  5905   355    21]
9,105.1888438,0,1,166536,2491.5,-22371.5,30.8457048,[  549  6702 20835 43384 54270 43007 18039  4900   299    15]
10,105.19525,0,1,166535,2494,-22354.5,30.84154196,[  552  6692 20834 43336 54313 43029 18029  4899   298    18]
11,105.1941458,0,1,166536,2498.5,-22360,30.84020231,[  553  6692 20837 43328 54312 43044 18021  4897   298    18]
12,105.1663958,0,1,166518,2509,-22368.5,30.84213382,[  556  6706 20867 46316 54405 42255 16670  3963   243    19]
13,105.212349,0,1,166540,2540,-22362.5,30.85397018,[  547  6732 20818 46244 54397 42301 16720  3976   246    19]
14,105.2111927,0,1,166541,2535,-22362.5,30.85504242,[  545  6733 20825 46241 54393 42301 16716  3977   250    19]
15,105.2126823,0,1,166540,2532.5,-22352,30.8552236,[  545  6731 20820 46242 54396 42309 16713  3975   250    19]
16,105.19225,0,1,166523,2542.5,-22371.5,30.8498931,[  548  6732 20849 46281 54401 42257 16702  3960   251    19]
17,105.3509323,0,1,166685,2559.5,-22243,30.87168467,[  519  6709 20726 46107 54217 42347 17082  4023   251    19]
18,105.3615156,0,1,166690,2541,-22318,30.87450875,[  517  6689 20763 46074 54189 42508 16974  4017   251    18]
19,105.5313333,0,1,166780,2874.5,-22350.5,30.9337829,[  307  6274 18639 40025 54461 46075 19810  5995   392    22]
20,105.5107552,0,1,166753,2861,-22430,30.938905,[  309  6298 18640 40010 54558 46029 19740  6002   392    22]
21,105.551,0,1,166796,2856.5,-22405.5,30.93928114,[  307  6286 18611 39985 54479 46092 19836  5989   393    22]
22,105.5524635,0,1,166795,2856.5,-22414,30.93973877,[  307  6286 18612 39973 54480 46102 19836  5989   393    22]
23,105.5524427,0,1,166793,2856.5,-22414.5,30.94019971,[  307  6286 18614 39971 54485 46097 19828  5997   393    22]
24,105.5293021,0,1,166765,2860,-22462,30.94378919,[  309  6289 18637 39985 54531 46053 19784  5998   392    22]
25,105.8515677,0,1,167047,2785,-22557,31.02047029,[  235  5615 19103 37418 54094 45477 23589  6001   444    24]
