Frame,Mean Temperature,Propagation,transition points,numer of above,gradient x,gradient y,std,histogram
0,83.01650520833333,0,1,140578,-8386.5,-12739.0,28.73609706367756,[ 2653 19526 50543 89475 17889  6766  2544  1757   424   423]
1,83.036421875,0,1,140614,-8356.5,-12726.0,28.73937469434611,[ 2653 19463 50594 89447 17920  6772  2543  1760   425   423]
2,83.03530208333333,0,1,140598,-8356.5,-12744.5,28.74202595236191,[ 2654 19478 50577 89446 17912  6778  2546  1761   425   423]
3,83.03558854166667,0,1,140595,-8336.5,-12756.5,28.744861662519245,[ 2654 19486 50570 89436 17914  6786  2545  1761   425   423]
4,83.03619791666667,0,1,140599,-8337.5,-12757.5,28.74552324062819,[ 2654 19471 50574 89439 17923  6780  2550  1760   426   423]
5,83.14172916666666,0,1,140834,-8392.0,-12809.5,28.759449648651415,[ 2629 19253 50535 89579 17979  6848  2541  1775   434   427]
6,83.15184375,0,1,140816,-8390.0,-12900.0,28.75788833332956,[ 2605 19275 50543 89541 18011  6847  2543  1775   432   428]
7,83.16051041666667,0,1,140843,-8385.5,-12919.0,28.764805009585498,[ 2603 19271 50523 89502 18056  6863  2550  1772   432   428]
8,83.14797916666667,0,1,140797,-8384.0,-12942.5,28.773417602008383,[ 2629 19286 50547 89479 18000  6867  2559  1772   433   428]
9,83.337984375,0,1,141033,-8377.0,-12841.0,28.781241918199477,[ 2432 19134 50579 89298 18357  6963  2583  1789   435   430]
10,83.37961979166667,0,1,141062,-8437.5,-12827.0,28.795012738414297,[ 2415 19110 50558 89236 18413  7021  2589  1796   432   430]
11,83.40686458333333,0,1,141014,-8463.5,-12795.5,28.809937752347928,[ 2367 19084 50611 89239 18403  7033  2598  1803   432   430]
12,83.53869791666666,0,1,141175,-8509.0,-12832.5,28.847561862103916,[ 2331 18940 50726 88899 18671  7117  2637  1815   434   430]
13,84.29198958333333,0,1,142621,-8416.0,-12635.5,28.862684105084398,[ 2839 21016 50212 88683 16886  7221  2500  1814   395   434]
14,84.46590104166667,0,1,142881,-8359.5,-12609.0,28.91167951297607,[ 2812 20833 50163 88501 17199  7315  2520  1831   391   435]
15,84.71433854166666,0,1,143290,-8317.0,-12576.0,28.941512620102568,[ 2656 20865 49484 88694 17675  7383  2573  1836   400   434]
16,84.763328125,0,1,143314,-8320.0,-12605.0,28.965880286961486,[ 2623 20837 49599 88496 17778  7391  2602  1842   398   434]
17,84.93208854166667,0,1,143747,-8281.5,-12584.0,28.961752750978782,[ 2508 20731 49302 88802 17888  7468  2612  1850   403   436]
18,84.955921875,0,1,143799,-8284.0,-12569.5,28.96384905206079,[ 2506 20683 49336 88742 17937  7495  2609  1850   406   436]
19,84.98610416666666,0,1,143852,-8281.5,-12596.5,28.963334843197,[ 2451 20718 49292 88732 18009  7489  2614  1851   408   436]
20,84.972921875,0,1,143816,-8291.0,-12594.5,28.967019700286972,[ 2494 20681 49361 88686 17980  7486  2618  1851   407   436]
21,85.27877083333334,0,1,144438,-8304.0,-12452.5,28.98215840085901,[ 2329 20491 48838 89144 18209  7611  2638  1886   411   443]
22,85.27541145833334,0,1,144342,-8271.0,-12386.5,28.996778513373147,[ 2332 20506 48876 89013 18286  7604  2639  1888   413   443]
23,85.30566145833333,0,1,144429,-8319.0,-12408.5,28.990383521055552,[ 2323 20422 48885 89086 18274  7618  2644  1887   418   443]
