Frame,Mean Temperature,Propagation,transition points,numer of above,gradient x,gradient y,std,histogram
0,67.413171875,0,0,80720,-5810.0,-11499.0,23.62623591215302,[  7923  23455 105545  45176   6649   1320    816    756    231    129]
1,67.42142708333333,0,0,80730,-5825.0,-11489.5,23.626386053805035,[  7919  23443 105478  45261   6644   1323    816    756    231    129]
2,67.42054166666667,0,0,80740,-5804.5,-11493.5,23.626815603037382,[  7920  23446 105473  45257   6649   1323    816    756    231    129]
3,67.42171354166666,0,0,80735,-5803.0,-11482.0,23.628640512743036,[  7922  23453 105473  45245   6652   1323    816    756    231    129]
4,67.42107291666666,0,0,80738,-5803.0,-11498.0,23.62811442643805,[  7922  23453 105467  45254   6649   1323    816    756    231    129]
5,67.44978125,0,0,80743,-5793.5,-11617.0,23.624226816141135,[  7897  23417 105414  45324   6698   1321    814    756    230    129]
6,67.44971875,0,0,80743,-5793.5,-11617.0,23.62427628794651,[  7897  23417 105413  45325   6698   1321    814    756    230    129]
7,67.44957291666667,0,0,80739,-5793.5,-11619.0,23.62441773587799,[  7897  23422 105407  45326   6698   1321    814    756    230    129]
8,67.42795833333334,0,0,80683,-5814.5,-11507.0,23.631981719658295,[  7916  23446 105475  45236   6681   1314    819    753    230    130]
9,67.44064583333333,0,0,80713,-5741.0,-11621.5,23.638186751868947,[  7942  23503 105326  45291   6689   1314    817    762    230    126]
10,67.44159895833333,0,0,80721,-5741.0,-11621.5,23.63771099292397,[  7942  23475 105354  45291   6689   1314    817    762    230    126]
11,67.44172395833333,0,0,80721,-5741.0,-11621.5,23.637764403308132,[  7942  23477 105352  45291   6689   1314    817    762    230    126]
12,67.43481770833333,0,0,80716,-5739.0,-11568.0,23.64533497018358,[  7963  23432 105399  45263   6696   1311    819    761    230    126]
13,67.433921875,0,0,80759,-5777.5,-11707.5,23.654304539866096,[  7973  23349 105397  45339   6689   1316    816    766    226    129]
14,67.43413541666666,0,0,80759,-5777.5,-11669.5,23.65444253073819,[  7973  23349 105393  45342   6690   1316    816    766    226    129]
15,67.433546875,0,0,80759,-5777.5,-11669.5,23.654038604760732,[  7973  23350 105395  45339   6690   1316    816    766    226    129]
16,67.43875,0,0,80772,-5765.0,-11653.5,23.661850195779284,[  7970  23328 105406  45344   6700   1315    815    767    226    129]
17,67.43740625,0,0,80842,-5711.5,-11675.0,23.663848322686817,[  7966  23383 105276  45432   6692   1313    823    762    223    130]
18,67.43876041666667,0,0,80835,-5713.5,-11670.0,23.66295429491916,[  7970  23388 105253  45447   6689   1313    826    761    223    130]
19,67.438640625,0,0,80835,-5713.5,-11670.0,23.663012752544837,[  7970  23388 105253  45447   6689   1313    826    761    223    130]
20,67.45005208333333,0,0,80881,-5713.5,-11636.5,23.669357498087845,[  7966  23338 105254  45492   6696   1313    824    764    223    130]
21,67.45069791666667,0,0,80896,-5642.0,-11653.0,23.66454795091691,[  7955  23394 105244  45459   6698   1309    824    764    223    130]
22,67.45004166666666,0,0,80905,-5642.0,-11670.5,23.664729468802243,[  7955  23394 105244  45459   6698   1309    824    764    223    130]
23,67.45090104166667,0,0,80915,-5642.0,-11670.5,23.664948273602683,[  7955  23394 105241  45460   6700   1309    824    764    223    130]
24,67.44953645833333,0,0,80909,-5638.5,-11671.5,23.665856103205503,[  7953  23386 105215  45482   6713   1310    824    764    223    130]
25,67.45277604166667,0,0,80967,-5627.5,-11726.0,23.662321911238816,[  7959  23375 105216  45505   6694   1312    827    756    225    131]
26,67.45293229166667,0,0,80960,-5627.5,-11726.0,23.662237699849218,[  7958  23377 105210  45510   6694   1309    830    756    225    131]
