Frame,Mean Temperature,Propagation,transition points,numer of above,gradient x,gradient y,std,histogram
0,96.83273958333334,0,1,160381,-22.0,-14645.5,29.412665444266523,[ 3000  2901 15858 40914 56073 47229 19994  4529   936   566]
1,96.83965104166667,0,1,160381,-22.0,-14648.0,29.41286905992956,[ 3000  2902 15855 40927 56014 47269 20002  4529   936   566]
2,96.83940104166666,0,1,160381,-22.0,-14649.0,29.412895496979704,[ 3000  2902 15857 40927 56009 47277 19997  4529   936   566]
3,96.86728125,0,1,160447,-23.0,-14628.5,29.40901293793109,[ 3000  2890 15800 40865 56085 47274 20050  4534   940   562]
4,96.83758854166666,0,1,160381,-22.0,-14649.0,29.41325085132893,[ 3000  2902 15858 40925 56010 47274 20000  4529   936   566]
5,96.86392708333334,0,1,160429,-23.0,-14605.0,29.40825820799349,[ 3000  2887 15815 40888 56095 47215 20063  4540   932   565]
6,96.86392708333334,0,1,160429,-23.0,-14611.0,29.408252186441647,[ 3000  2887 15815 40888 56095 47215 20063  4540   932   565]
7,96.864140625,0,1,160429,-23.0,-14611.0,29.408489341603808,[ 3000  2887 15815 40888 56095 47223 20055  4540   932   565]
8,96.85025,0,1,160401,-22.0,-14614.0,29.41496345293497,[ 3000  2905 15825 40918 56046 47284 19980  4542   934   566]
9,96.86181770833333,0,1,160399,-22.0,-14543.0,29.418442954422368,[ 3000  2920 15782 40945 56024 47239 20054  4540   935   561]
10,96.86157291666666,0,1,160399,-22.0,-14558.5,29.41854457694896,[ 3000  2912 15808 40935 56016 47251 20042  4540   935   561]
11,96.860546875,0,1,160406,-22.0,-14553.0,29.41735662044197,[ 3000  2912 15809 40936 56014 47264 20029  4540   935   561]
12,96.85550520833333,0,1,160427,-22.0,-14602.0,29.421854324297463,[ 3000  2927 15828 40911 56021 47249 20036  4532   930   566]
13,96.873203125,0,1,160448,-27.0,-14639.5,29.430522539151255,[ 3000  2963 15771 37496 59209 47392 19657  4952   938   622]
14,96.87381770833333,0,1,160448,-27.0,-14639.5,29.430617205062763,[ 3000  2963 15771 37489 59216 47391 19658  4952   938   622]
15,96.87342708333334,0,1,160448,-27.0,-14636.5,29.430777543190505,[ 3000  2964 15770 37493 59212 47391 19658  4952   938   622]
16,96.86583333333333,0,1,160450,-27.0,-14660.0,29.430925474839484,[ 3000  2972 15757 37525 59247 47352 19618  4968   938   623]
17,96.872609375,0,1,160401,-11.0,-14703.0,29.442096699912447,[ 3000  2986 15643 37626 59076 47420 19712  4970   944   623]
18,96.87149479166666,0,1,160401,-11.0,-14701.5,29.441068112753054,[ 3000  2987 15642 37625 59078 47444 19693  4964   944   623]
19,96.88896875,0,1,160421,-11.0,-14743.5,29.444944302514656,[ 3000  2991 15629 37590 59020 47491 19741  4970   944   624]
20,96.87815625,0,1,160434,-11.0,-14745.0,29.44216042260802,[ 3000  2987 15646 37618 59023 47498 19687  4972   945   624]
21,96.892125,0,1,160422,17.0,-14733.0,29.45279836848062,[ 3000  2976 15642 37587 58987 47517 19729  4997   942   623]
22,96.900921875,0,1,160422,17.0,-14744.0,29.46135076220165,[ 3000  2976 15642 37559 59017 47439 19794  5008   942   623]
23,96.90314583333334,0,1,160423,17.0,-14761.5,29.462134146002832,[ 3000  2976 15640 37570 58996 47449 19796  5008   942   623]
24,96.88963541666666,0,1,160432,17.0,-14751.0,29.456312581664825,[ 3000  2978 15657 37563 59025 47465 19744  5003   942   623]
25,96.82654166666667,0,1,160316,16.0,-14780.5,29.46463603694997,[ 3000  2947 15808 37569 59091 47332 19707  4974   952   620]
26,96.73255208333333,0,1,160207,8.0,-14913.0,29.47465547486298,[ 3000  3049 15884 37773 58840 47456 19500  4926   954   618]
27,96.53071875,0,1,159886,7.0,-15257.5,29.529238054992188,[ 3000  3139 16165 38218 58473 47208 19310  4915   950   622]
28,96.41623958333334,0,1,159645,7.0,-15363.0,29.538061512946303,[ 3000  3156 16286 38803 58095 47004 19199  4885   950   622]
29,96.4069375,0,1,159678,7.0,-15279.0,29.535709068929208,[ 3000  3149 16279 41787 55090 47113 19652  4425   945   560]
30,96.406703125,0,1,159669,7.0,-15259.5,29.537430241584126,[ 3000  3149 16291 41780 55073 47122 19655  4425   945   560]
31,96.41703645833333,-0.014087152777778063,1,159671,7.0,-15281.0,29.542660050917682,[ 3000  3149 16275 41788 55047 47138 19652  4446   945   560]
32,96.428203125,-0.013706597222222191,1,159732,7.0,-15324.0,29.546304785179828,[ 3000  3164 18207 39795 55021 49809 17058  4504   950   492]
