Frame,Mean Temperature,Propagation,transition points,numer of above,gradient x,gradient y,std,histogram
0,75.25041146,0,1,100751,3277.5,-25859.5,26.95886,[13760 50775 65235 42271 15361  2420   968   895   278    37]
1,75.25691146,0,1,100757,3277.5,-25873.5,26.96456841,[13759 50762 65249 42206 15417  2429   968   895   278    37]
2,75.25619271,0,1,100757,3277.5,-25873.5,26.96393358,[13759 50765 65245 42227 15397  2429   968   895   278    37]
3,75.28097396,0,1,100894,3269.5,-25847,26.95899348,[13767 50438 65484 42294 15380  2459   968   895   278    37]
4,75.25658854,0,1,100754,3277.5,-25870,26.96526819,[13761 50764 65243 42206 15419  2429   968   895   278    37]
5,75.27996875,0,1,100839,3259.5,-25727.5,26.96543858,[13773 50494 65367 42329 15391  2469   967   895   278    37]
6,75.28001563,0,1,100839,3259.5,-25729,26.96523461,[13773 50487 65374 42329 15391  2469   967   895   278    37]
7,75.27963021,0,1,100839,3259.5,-25729.5,26.96522741,[13773 50497 65379 42314 15391  2469   967   895   278    37]
8,75.25877083,0,1,100769,3271,-25859,26.96782624,[13785 50739 65206 42231 15432  2429   968   895   278    37]
9,75.28132813,0,1,100931,3305.5,-25792.5,26.97661749,[10566 40994 72340 45711 16663  3481  1034   883   286    42]
10,75.28126042,0,1,100932,3305.5,-25792.5,26.97650264,[10566 40986 72353 45706 16663  3481  1034   883   286    42]
11,75.28189583,0,1,100927,3305.5,-25788.5,26.97583184,[10566 41000 72346 45701 16652  3490  1034   883   286    42]
12,75.26566667,0,1,100821,3305.5,-25861,26.97019872,[ 9596 38010 76281 45760 16027  4080   923   995   286    42]
13,75.29027604,0,1,101175,3418,-25825.5,26.97910506,[ 9599 37892 74134 48012 15997  4085   952   982   300    47]
14,75.28977604,0,1,101158,3418,-25825.5,26.9789029,[ 9599 37893 74139 48007 15998  4083   952   982   300    47]
15,75.28954688,0,1,101158,3418,-25844.5,26.97834164,[ 9599 37893 74137 48009 15998  4083   952   982   300    47]
16,75.29010417,0,1,101057,3416.5,-25933.5,26.97807223,[ 9596 37941 74096 48012 15993  4080   953   981   301    47]
17,75.30219271,0,1,101265,3327,-25944,26.97671329,[10686 40698 72481 45749 16061  4078   942   961   297    47]
18,75.30140104,0,1,101256,3318,-25944,26.97715828,[10686 40687 72489 45752 16066  4073   942   961   297    47]
19,75.30140104,0,1,101256,3318,-25942.5,26.97695402,[10686 40692 72484 45752 16066  4073   942   961   297    47]
20,75.29272917,0,1,101150,3324.5,-26014.5,26.98338411,[ 9585 38074 73949 47988 16056  4065   977   962   297    47]
21,75.30375,0,1,101265,3310,-26009,26.98118551,[ 9583 38028 73956 48016 16075  4060   975   966   294    47]
22,75.30331771,0,1,101258,3314.5,-26009,26.98127965,[ 9583 38028 73956 48016 16075  4060   975   966   294    47]
23,75.30331771,0,1,101258,3314.5,-26009,26.98127965,[ 9583 38028 73956 48016 16075  4060   975   966   294    47]
24,75.295,0,1,101205,3326.5,-26004,26.98385814,[ 9591 38062 73944 47986 16072  4062   977   965   294    47]
25,75.29622917,0,1,101481,3374.5,-25927.5,26.9927243,[ 9604 38178 73873 47925 16064  4077   974   964   294    47]
26,75.29444792,0,1,101481,3374.5,-25927.5,26.99456192,[ 9606 38188 73862 47924 16064  4077   974   964   294    47]
27,75.29442708,0,1,101481,3374.5,-25927.5,26.99456948,[ 9606 38188 73862 47924 16064  4077   974   964   294    47]
28,75.30051042,0,1,101495,3382.5,-26045.5,26.99014241,[ 9604 38180 73840 47950 16079  4068   978   960   294    47]
29,75.30053125,0,1,101495,3397.5,-25902.5,26.99154929,[ 9595 38142 73899 47937 16133  4012   977   964   293    48]
30,75.30053125,0,1,101495,3397.5,-25902.5,26.99154929,[ 9595 38142 73899 47937 16133  4012   977   964   293    48]
31,75.30053125,0.001453993,1,101495,3397.5,-25902.5,26.99154929,[ 9595 38142 73899 47937 16133  4012   977   964   293    48]
32,75.30766667,0.001715799,1,101545,3393,-26015.5,26.99263379,[ 9596 38115 73910 47936 16132  4029   977   964   293    48]
33,75.31763021,0.001221875,1,101597,3398.5,-25976,26.99255938,[ 9567 38135 73911 47933 16131  4041   977   964   293    48]
34,75.31747396,0.002029514,1,101596,3398.5,-25976,26.99252109,[ 9567 38135 73912 47932 16131  4041   977   964   293    48]
35,75.31675521,0.001226215,1,101598,3398.5,-25976,26.99185013,[ 9567 38135 73911 47933 16131  4041   977   964   293    48]
36,75.30860938,0.000953125,1,101547,3398,-26015.5,26.9915879,[ 9577 38139 73902 47939 16132  4029   977   964   293    48]
37,75.23347917,-0.001538368,1,101177,3670.5,-26143.5,26.99447972,[10702 41125 72164 45633 16045  4057   918  1012   296    48]
38,75.23822396,-0.000684896,1,101193,3666.5,-26197.5,26.99865109,[10733 41041 72213 45606 16071  4062   918  1012   296    48]
39,75.24103125,-0.001343229,1,101211,3665,-26187,26.99564525,[10729 41009 72252 45601 16074  4061   918  1012   296    48]
40,75.23153646,-0.001657465,1,101155,3666.5,-26190,26.99757108,[10738 41051 72217 45605 16056  4059   918  1012   296    48]
41,75.23778125,-0.001470486,1,101215,3689.5,-26171,27.00067209,[11731 44103 70335 43380 16756  3455   932   964   303    41]
42,75.23691146,-0.000958507,1,101215,3689.5,-26171,26.99983629,[11731 44103 70335 43389 16748  3454   932   964   303    41]
43,75.23695313,-0.001777431,1,101216,3689.5,-26165,26.99978422,[11731 44103 70335 43390 16747  3454   932   964   303    41]
44,75.22928125,-0.002016493,1,101199,3691,-26181.5,27.00041575,[10787 41041 72123 45620 16117  4036   911  1021   296    48]
45,75.23713542,-0.001747049,1,101222,3673.5,-26156.5,27.00088494,[10783 40980 72182 45598 16145  4036   911  1022   297    46]
46,75.23680729,-0.001776563,1,101214,3673.5,-26156.5,27.00099517,[10783 40986 72176 45598 16145  4036   911  1022   297    46]
47,75.23630208,-0.002196354,1,101214,3673.5,-26156.5,27.00043913,[10783 40986 72176 45600 16143  4036   911  1022   297    46]
48,75.22882292,-0.002419271,1,101193,3674.5,-26180,27.00139106,[10788 41033 72146 45589 16133  4035   912  1021   297    46]
49,75.24079688,-0.002020139,1,101215,3777,-26190.5,27.00091629,[10772 41005 72170 45590 16149  4038   912  1017   300    47]
50,75.24097917,-0.001725,1,101214,3767.5,-26190.5,27.00063236,[10772 41010 72165 45590 16149  4038   912  1017   300    47]
51,75.24191146,-0.002061285,1,101213,3767.5,-26190.5,26.99911234,[10767 41013 72167 45591 16148  4038   912  1017   300    47]
52,75.23744271,-0.002195833,1,101207,3769,-26208,26.99737528,[10764 41048 72149 45588 16139  4036   913  1016   300    47]
53,75.39269271,0.002979167,1,101491,3877,-26233,26.97139758,[11350 44114 70556 43325 16803  3612   931   961   308    40]
54,75.55972917,0.008824306,1,101875,3838,-26395,26.94486626,[10166 40546 72839 45656 16169  4347   913  1016   301    47]
55,75.75164583,0.015180556,1,102383,3825,-26434.5,26.90477319,[ 9886 40165 73149 45806 16222  4496   912  1016   301    47]
56,75.90488542,0.020347917,1,102788,3896,-26683.5,26.92283156,[ 9737 39728 73461 45870 16203  4715   916  1011   309    50]
57,76.00885417,0.023814236,1,103361,3883.5,-26616.5,26.90214046,[ 9696 39299 73697 46012 16234  4776   916  1011   309    50]
58,76.05884896,0.025277951,1,103563,3893,-26591.5,26.90062055,[ 9670 39160 73657 46202 16211  4808   920  1013   309    50]
59,76.07438021,0.025794965,1,103608,3892,-26588,26.89284802,[ 9630 39164 73639 46252 16214  4809   920  1013   309    50]
60,76.06398958,0.025448611,1,103558,3883.5,-26649,26.89568737,[ 9636 39232 73553 46290 16203  4795   918  1014   309    50]
61,76.09324479,0.026423785,1,103682,3880.5,-26558,26.88982998,[ 9614 39104 73671 46295 16208  4816   919  1014   309    50]
62,76.10435938,0.026556424,1,103747,3880.5,-26553.5,26.88842494,[ 9621 39062 73683 46318 16197  4827   919  1014   309    50]
63,76.11283854,0.026506944,1,103811,3855.5,-26532,26.88338787,[ 9620 38996 73750 46317 16198  4827   919  1014   309    50]
