Frame,Mean Temperature,Propagation,transition points,numer of above,gradient x,gradient y,std,histogram
0,70.71859375,0,1,93473,-6713.5,6114.0,17.72482334484026,[12179 67115 72456 32698  6200   866   238   141    80    27]
1,70.934328125,0,1,94370,-6632.0,6001.5,17.693437599286185,[11850 66558 72812 33010  6409   871   245   140    78    27]
2,70.97735416666667,0,1,94577,-6598.5,5942.0,17.686951925536313,[11777 66418 72955 33052  6443   874   236   140    78    27]
3,71.11161458333333,0,1,95394,-6612.0,6079.5,17.685129714483878,[11612 66064 73046 33374  6552   868   239   140    78    27]
4,71.01161458333333,0,1,94764,-6592.0,5955.5,17.69409036518843,[11754 66302 72966 33125  6494   874   240   140    78    27]
5,70.951765625,0,1,94687,-6574.0,6217.0,17.746885921293394,[12133 66433 72346 33302  6449   853   240   142    74    28]
6,70.90144791666667,0,1,94524,-6570.0,6252.5,17.759375047287108,[12292 66425 72408 33094  6443   854   240   142    74    28]
7,70.83744791666666,0,1,94254,-6576.5,6214.5,17.76539748087662,[12512 66514 72288 32929  6420   853   240   142    74    28]
8,70.75469791666667,0,1,93753,-6579.0,6146.5,17.781289435000087,[12637 66883 71903 32876  6363   859   235   142    74    28]
9,70.78589583333333,0,1,94075,-6485.5,6214.0,17.790422664245014,[12649 66722 72059 32821  6410   865   229   142    74    29]
10,70.76554166666666,0,1,93927,-6508.5,6199.5,17.7849757554871,[12693 66804 71980 32804  6378   867   229   142    74    29]
11,70.74369791666666,0,1,93807,-6499.5,6221.5,17.78835166830846,[12704 66890 71902 32792  6371   867   229   142    74    29]
12,70.73070833333334,0,1,93642,-6543.0,6241.5,17.799471923297723,[12713 66876 71987 32700  6378   866   235   142    74    29]
13,70.75414583333334,0,1,93892,-6489.5,6226.5,17.80728150164232,[12809 66771 71863 32816  6389   861   248   137    77    29]
14,70.75072395833334,0,1,93885,-6490.5,6212.0,17.80650226499815,[12809 66786 71877 32785  6391   861   248   137    77    29]
15,70.748984375,0,1,93852,-6490.5,6244.5,17.805474535874424,[12811 66800 71858 32789  6391   861   247   137    77    29]
16,70.7268125,0,1,93714,-6500.5,6242.5,17.806727247209423,[12807 66887 71877 32704  6374   860   248   137    77    29]
17,70.75334375,0,1,93869,-6422.0,6224.5,17.811744260768023,[12838 66767 71761 32842  6443   857   249   142    70    31]
18,70.75047395833333,0,1,93857,-6410.5,6226.0,17.812566440938923,[12839 66806 71743 32820  6443   857   249   142    70    31]
19,70.751265625,0,1,93855,-6381.5,6226.0,17.8143370679076,[12840 66807 71745 32809  6451   856   249   142    68    33]
20,70.72741145833334,0,1,93683,-6381.5,6223.5,17.81443652243741,[12880 66891 71707 32735  6435   860   248   143    68    33]
21,70.77022916666667,0,1,93958,-6427.5,6302.5,17.82069539975407,[12896 66839 71579 32841  6489   865   245   147    66    33]
22,70.75219791666666,0,1,93904,-6426.5,6289.0,17.827783220135988,[12929 66824 71473 32946  6479   856   244   149    67    33]
23,70.59041145833334,0,1,93294,-6463.5,6079.5,17.854994712541046,[13233 67671 70592 32733  6416   847   261   150    65    32]
24,70.576703125,0,1,93201,-6460.5,6074.5,17.852221557758067,[13233 67747 70588 32678  6402   844   261   150    65    32]
25,70.58423958333333,0,1,93327,-6467.0,6097.5,17.851819396799115,[13230 67679 70593 32731  6412   849   259   150    65    32]
26,70.58366145833334,0,1,93328,-6467.0,6097.5,17.85216842366933,[13230 67677 70602 32724  6412   849   259   150    65    32]
27,70.583703125,0,1,93327,-6467.0,6096.0,17.852290762071178,[13230 67679 70593 32731  6412   849   259   150    65    32]
28,70.58261458333334,0,1,93343,-6412.0,6067.0,17.853222393467817,[13261 67658 70611 32711  6405   848   259   150    65    32]
29,70.602203125,0,1,93606,-6329.0,6145.0,17.857546033948047,[13250 67641 70485 32801  6480   835   261   150    65    32]
30,70.60147395833333,0,1,93603,-6329.0,6145.0,17.857316571061666,[13250 67644 70480 32803  6480   835   261   150    65    32]
31,70.60221354166667,-0.01107048611111073,1,93603,-6329.0,6145.0,17.856745932799925,[13250 67643 70481 32803  6480   835   261   150    65    32]
32,70.59425520833334,-0.012769965277777828,1,93552,-6331.0,6099.0,17.85745733922858,[13256 67690 70450 32787  6472   837   261   150    65    32]
33,70.600796875,-0.017027256944444482,1,93634,-6317.5,6213.0,17.858925067688805,[13259 67678 73950 30231  5600   847   198   148    63    26]
34,70.603234375,-0.013612673611110893,1,93640,-6279.0,6222.0,17.859017299779357,[13260 67638 73989 30231  5599   848   198   148    63    26]
35,70.59809895833334,-0.011788888888888493,1,93573,-6273.0,6180.0,17.862058296690613,[13288 67625 73966 30243  5597   849   195   148    63    26]
36,70.58866666666667,-0.010426041666666682,1,93530,-6226.0,6158.5,17.866295453233224,[13301 67671 73970 30175  5603   848   195   148    63    26]
37,70.56158333333333,-0.009195486111111014,1,93457,-6218.5,6140.0,17.879192083994987,[13417 67719 73787 30218  5580   845   195   150    64    25]
38,70.556625,-0.006602430555555827,1,93376,-6177.0,6075.0,17.87778305447038,[13427 67688 73825 30219  5561   847   194   149    65    25]
39,70.55284375,-0.007768402777777794,1,93372,-6147.5,6075.0,17.882370253168883,[13452 67664 73821 30222  5559   848   194   151    65    24]
40,70.54447916666666,-0.007368750000000072,1,93307,-6148.5,6015.0,17.881589133437387,[13446 67726 73808 30188  5550   848   194   151    65    24]
41,70.555890625,-0.0062602430555552735,1,93394,-6107.0,6055.5,17.880130708546396,[13445 67700 73767 30245  5560   845   198   151    65    24]
42,70.56084375,-0.005662152777777862,1,93403,-6114.0,6055.0,17.877296650726755,[13444 67700 73769 30244  5560   845   198   151    65    24]
43,70.56169791666666,-0.006414930555555998,1,93401,-6114.0,6055.0,17.87694702777143,[13444 67700 73767 30246  5560   845   198   151    65    24]
44,70.55044270833334,-0.006676041666666776,1,93295,-6115.0,6025.0,17.87751285693406,[13459 67733 73759 30212  5554   845   198   151    65    24]
45,70.56338020833333,-0.006186805555555944,1,93414,-6031.5,6054.5,17.876707483459914,[13445 67706 73757 30250  5557   846   199   151    65    24]
46,70.57008333333333,-0.005224305555555493,1,93444,-6018.5,6030.5,17.87353533606942,[13420 67699 73781 30258  5557   846   199   151    65    24]
47,70.59003645833333,-0.005443576388888971,1,93478,-5995.5,6045.0,17.862818626115647,[13375 67675 73837 30271  5557   846   199   151    65    24]
48,70.586296875,-0.005472569444444275,1,93437,-5994.5,5950.5,17.86193405726356,[13373 67648 73887 30255  5554   845   198   151    65    24]
49,70.61013541666667,-0.004704340277777893,1,93542,-5994.0,5948.5,17.84959282280679,[13287 67658 73918 30289  5565   845   198   151    65    24]
50,70.63014583333333,-0.0032421875000001894,1,93633,-5972.5,5936.0,17.844149355705714,[13250 67612 73937 30354  5564   845   198   151    65    24]
51,70.63175,-0.004615972222222335,1,93644,-5968.5,5964.0,17.845089376468998,[13250 67605 73936 30362  5564   845   198   151    65    24]
52,70.62341145833334,-0.004292881944444105,1,93584,-5970.5,5918.0,17.848356274326367,[13263 67617 73942 30339  5555   846   198   151    65    24]
53,70.6305,0.0013362847222220845,1,93418,-5915.5,5783.5,17.856287436082564,[13113 67894 73942 30157  5583   854   208   158    65    26]
54,70.63055729166666,0.0017951388888889142,1,93383,-5912.5,5785.0,17.854984907403107,[13100 67906 73959 30140  5582   858   206   158    65    26]
55,70.62269791666667,0.001281944444444605,1,93332,-5910.5,5815.5,17.859166863394808,[13143 67894 73896 30164  5589   859   206   158    65    26]
56,70.607703125,0.0008013888888887285,1,93271,-5911.0,5821.5,17.862173545984408,[13163 67926 73910 30105  5582   859   206   158    65    26]
57,70.62080208333333,0.0012366319444443738,1,93323,-5921.5,5855.0,17.860302249402043,[13129 67897 73912 30165  5586   856   206   158    65    26]
58,70.62080208333333,0.001272916666666409,1,93323,-5921.5,5855.0,17.860302249402043,[13129 67897 73912 30165  5586   856   206   158    65    26]
59,70.62325520833333,0.0007017361111110176,1,93328,-5921.5,5855.0,17.85964363176429,[13129 67889 73912 30173  5586   856   206   158    65    26]
60,70.61673958333333,0.0005088541666665947,1,93278,-5920.0,5775.5,17.85907061186788,[13097 67973 73908 30126  5585   856   206   158    65    26]
61,70.63678125,0.0011522569444442374,1,93360,-5921.5,5838.0,17.848926474898008,[13010 67977 73948 30166  5588   856   206   158    65    26]
62,70.639640625,0.0015128472222220542,1,93374,-5921.5,5838.5,17.84776481325275,[13015 67949 73965 30174  5586   856   206   158    65    26]
63,70.642703125,0.0013968749999998902,1,93374,-5940.0,5838.5,17.846645937956577,[13012 67930 73983 30178  5586   856   206   158    65    26]
64,70.638265625,0.0011677083333334318,1,93337,-5934.0,5767.0,17.845421253091132,[13049 67933 73992 30130  5585   856   206   158    65    26]
65,70.66166145833333,0.002118749999999636,1,93421,-5935.5,5832.5,17.838236989854767,[12983 67895 74025 30199  5588   855   206   158    65    26]
66,70.66423958333333,0.0025190972222219445,1,93429,-5935.5,5832.0,17.83665859802782,[12983 67874 74041 30204  5588   855   206   158    65    26]
67,70.66521354166666,0.0034543402777776084,1,93411,-5935.5,5833.5,17.836054785713774,[12987 67850 74061 30204  5588   855   206   158    65    26]
68,70.65488541666667,0.0032753472222225356,1,93365,-5934.0,5767.5,17.839141774696,[13021 67869 74063 30151  5585   856   206   158    65    26]
69,70.66031770833334,0.0035824652777781316,1,93416,-5930.5,5829.5,17.843637296874054,[13024 67808 74071 30199  5588   855   206   158    65    26]
70,70.660171875,0.0038564236111113814,1,93414,-5930.5,5830.5,17.843674800531577,[13024 67814 74064 30200  5588   855   206   158    65    26]
71,70.65681770833334,0.003364236111111059,1,93397,-5930.5,5843.5,17.845720830393855,[13048 67806 74059 30189  5588   855   206   158    65    26]
72,70.64950520833334,0.0029553819444444684,1,93370,-5887.5,5735.0,17.846373997519716,[13065 67819 74083 30137  5585   856   206   158    65    26]
73,70.664140625,0.0034147569444447374,1,93426,-5889.0,5822.0,17.84288214588359,[13049 67734 74124 30194  5588   856   206   158    65    26]
74,70.66871875,0.003942534722222035,1,93456,-5889.0,5836.5,17.84176959599949,[13046 67715 74146 30194  5588   856   206   158    65    26]
75,70.67365625,0.0036758680555555165,1,93462,-5889.0,5853.0,17.838647760508717,[13033 67686 74191 30192  5587   856   206   158    65    26]
76,70.66375520833333,0.0031223958333332765,1,93410,-5872.0,5723.5,17.837286755980493,[13036 67763 74166 30137  5587   856   206   158    65    26]
77,70.6975625,0.0035842013888891227,1,93545,-5871.5,5731.5,17.827632469715667,[13007 67655 74234 30199  5592   856   209   157    65    26]
78,70.94191145833334,0.011853819444444488,1,94479,-5850.0,5593.0,17.792844292383208,[12615 66674 75090 30613  5690   859   206   159    68    26]
79,71.426234375,0.02720329861111139,1,96535,-5919.0,5494.5,17.729672523744906,[11763 64932 76544 31479  5997   807   224   158    69    27]
80,71.73302604166666,0.03676267361111106,1,97761,-5918.0,5195.5,17.716962532101974,[11240 64265 76844 32160  6175   818   243   154    74    27]
81,71.8861875,0.04181458333333363,1,98454,-5942.0,5095.5,17.7029668784127,[10977 63769 77246 32309  6376   825   243   154    74    27]
82,72.26201041666667,0.05461996527777776,1,100132,-5963.5,5233.5,17.669019984374483,[10482 61975 78489 33033  6664   861   241   154    74    27]
83,72.818375,0.07292916666666685,1,102879,-5991.5,5105.5,17.689135432784017,[ 9836 64414 80173 29984  6243   862   234   158    72    24]
84,72.81341666666667,0.07276197916666689,1,102795,-6012.5,5065.5,17.685206246833975,[ 9850 64408 80254 29909  6229   862   234   158    72    24]
85,72.83831770833334,0.07385399305555561,1,103011,-6023.5,5141.5,17.686730533412934,[ 9829 64347 80215 30013  6248   858   236   158    72    24]
86,72.8478125,0.0746703125000001,1,103064,-6001.0,5150.5,17.68415325835093,[ 9788 64319 80251 30043  6252   857   236   158    72    24]
87,72.84846875,0.07425555555555548,1,103060,-6001.0,5136.0,17.681941904956975,[ 9782 64321 80252 30049  6249   857   236   158    72    24]
88,72.83354166666666,0.07375798611111103,1,102999,-6000.5,5141.5,17.686354790909586,[ 9819 64377 80201 30012  6244   857   236   158    72    24]
89,72.8536875,0.07434774305555578,1,103096,-6007.5,5189.0,17.68295403731167,[ 9778 64299 80259 30041  6276   857   236   158    72    24]
90,72.8554375,0.07462326388888887,1,103116,-6007.5,5193.5,17.68336958888003,[ 9778 64283 80264 30052  6276   857   236   158    72    24]
91,72.86150520833333,0.07415746527777761,1,103139,-6010.0,5170.5,17.67876761544804,[ 9782 64241 80289 30067  6274   857   236   158    72    24]
92,72.860140625,0.0740166666666667,1,103149,-5990.0,5164.0,17.68233660738567,[ 9816 64228 80268 30064  6277   857   236   158    72    24]
93,72.88555208333334,0.07476163194444467,1,103302,-5964.5,5178.5,17.67705273344619,[ 9790 64070 80389 30117  6287   857   236   158    72    24]
94,72.92002083333334,0.07605850694444456,1,103507,-5961.5,5092.0,17.66995181325912,[ 9753 63865 80575 30161  6296   860   236   158    72    24]
95,72.93099479166666,0.07564444444444453,1,103569,-5960.5,5107.0,17.669166109060047,[ 9755 63824 80571 30192  6308   860   236   158    72    24]
96,72.92692708333334,0.07542291666666709,1,103601,-5960.0,5053.5,17.666707564857216,[ 9787 63789 80594 30192  6288   860   236   158    72    24]
97,72.99759895833333,0.07774618055555559,1,103993,-5962.0,5111.5,17.65713056699754,[ 9680 63477 80840 30346  6296   865   239   160    73    24]
98,73.009015625,0.07847100694444435,1,104058,-5962.0,5100.0,17.65515821019,[ 9671 63447 80880 30322  6319   865   239   160    73    24]
99,73.00838020833334,0.07826874999999991,1,104064,-5962.0,5098.5,17.655996018268365,[ 9671 63449 80886 30328  6305   865   239   160    73    24]
100,72.904203125,0.0748010416666664,1,103478,-5968.0,5018.5,17.656582372694334,[ 9826 63839 80635 30103  6240   860   240   160    73    24]
101,72.79270833333334,0.07119635416666673,1,103157,-5934.0,4941.5,17.672555198619804,[10150 63886 80613 29825  6179   850   240   160    73    24]
102,72.76615625,0.0705550347222219,1,103045,-5928.0,4923.0,17.66615421082319,[10221 63935 80562 29807  6128   850   240   160    73    24]
103,72.722625,0.06861614583333306,1,102814,-5938.0,4956.5,17.677000139806196,[10354 64039 80416 29743  6103   848   240   160    73    24]
104,72.64321354166667,0.06581649305555573,1,102394,-5937.0,5074.0,17.70110049210171,[10548 64354 80040 29691  6022   848   240   160    73    24]
105,72.63539583333333,0.06539131944444468,1,102405,-5937.0,5110.5,17.698598145097517,[10567 64351 80047 29700  5990   848   240   160    73    24]
106,72.62255729166667,0.06529340277777797,1,102360,-5943.0,5129.0,17.696836773660785,[10581 64391 80019 29694  5970   848   240   160    73    24]
107,72.61525,0.06392291666666665,1,102341,-5943.0,5133.0,17.701775415312632,[10615 64392 79987 29696  5965   848   240   160    73    24]
108,72.59696354166667,0.055168402777777695,1,102207,-5937.0,5114.5,17.706371385885955,[10630 64444 79966 29646  5969   848   240   160    73    24]
109,72.60508333333334,0.03929496527777777,1,102290,-5937.5,5194.0,17.69740356407465,[10621 64407 80028 29663  5936   848   240   160    73    24]
110,72.60288020833333,0.028995138888888997,1,102259,-5912.0,5199.5,17.699310516120864,[ 9496 60728 80358 34137  5856   897   271   160    73    24]
