Frame,Mean Temperature,Propagation,transition points,numer of above,gradient x,gradient y,std,histogram
0,72.82149479166667,0,1,93662,-15839.0,-39715.5,32.11882634347439,[ 3046 43288 67103 54391 11398  7387  3871   616   351   549]
1,72.82346875,0,1,93666,-15839.0,-39714.5,32.11962962973121,[ 3045 43287 67110 54382 11398  7377  3885   616   351   549]
2,72.820859375,0,1,93664,-15839.0,-39707.0,32.116644459607045,[ 3046 43288 67110 54384 11396  7390  3870   616   351   549]
3,72.82194270833334,0,1,93664,-15839.0,-39707.0,32.119115524236,[ 3047 43288 67111 54381 11394  7392  3871   616   351   549]
4,72.822640625,0,1,93665,-15839.0,-39701.0,32.11904544208051,[ 3046 43287 67112 54381 11395  7392  3871   616   351   549]
5,72.82693229166667,0,1,93683,-15841.5,-39653.0,32.114357683804485,[ 3044 43217 67176 54384 11410  7403  3851   614   351   550]
6,72.82502083333334,0,1,93661,-15844.5,-39657.0,32.112127722630994,[ 3043 43201 67181 54393 11417  7402  3850   612   351   550]
7,72.818578125,0,1,93656,-15838.5,-39659.0,32.11269994194827,[ 3045 43207 67192 54377 11414  7397  3854   613   351   550]
8,72.81275520833333,0,1,93647,-15826.5,-39723.0,32.12544838877211,[ 3064 43254 67125 54375 11410  7398  3856   618   350   550]
9,72.80073958333334,0,1,93665,-15833.5,-39614.0,32.13790796893418,[ 3098 43207 67187 54319 11442  7385  3846   607   362   547]
10,72.80180729166666,0,1,93670,-15825.5,-39606.5,32.13794625426507,[ 3099 43204 67187 54331 11434  7380  3849   607   362   547]
11,72.80191666666667,0,1,93668,-15823.0,-39606.0,32.13803338843851,[ 3100 43195 67200 54325 11434  7381  3849   607   362   547]
12,72.801921875,0,1,93650,-15810.0,-39661.0,32.14594193307656,[ 3108 43210 67166 54350 11409  7388  3851   609   362   547]
13,72.79372916666667,0,1,93630,-15845.0,-39586.5,32.15284549113265,[ 3148 43118 67195 54387 11411  7393  3833   606   360   549]
14,72.79403125,0,1,93638,-15841.5,-39578.0,32.154437773668036,[ 3157 43102 67216 54378 11400  7397  3833   608   360   549]
15,72.79427604166666,0,1,93631,-15839.0,-39589.5,32.154632985693276,[ 3147 43113 67209 54380 11405  7396  3833   608   360   549]
16,72.79670833333333,0,1,93634,-15823.5,-39613.5,32.15692893838377,[ 3163 43097 67234 54356 11399  7389  3845   608   360   549]
17,72.71411458333333,0,1,93403,-15795.5,-39631.0,32.18869283788751,[ 3295 43207 67293 54120 11324  7435  3813   604   360   549]
18,72.60979166666667,0,1,93205,-15759.5,-39761.5,32.22756661550166,[ 3405 43510 67167 53878 11288  7430  3809   605   359   549]
19,72.49789583333333,0,1,93002,-15746.0,-39795.0,32.26130738060403,[ 3484 43848 67016 53629 11272  7433  3806   607   357   548]
20,72.48358854166666,0,1,92957,-15747.5,-39787.0,32.265463208835264,[ 3503 43871 66997 53615 11268  7419  3815   607   357   548]
21,72.35347395833334,0,1,92686,-15818.5,-39860.0,32.32341254987031,[ 3692 44253 66729 53353 11227  7432  3811   601   352   550]
22,72.321484375,0,1,92643,-15817.0,-39873.0,32.33262778791156,[ 3729 44327 66699 53298 11208  7426  3810   601   352   550]
23,72.309890625,0,1,92613,-15819.0,-39832.5,32.336341528155856,[ 3754 44330 66701 53263 11213  7426  3811   600   352   550]
24,72.29927083333334,0,1,92590,-15817.5,-39847.5,32.33830625669268,[ 3763 44363 66672 53254 11210  7427  3809   600   352   550]
25,72.2244375,0,1,92433,-15822.5,-39928.0,32.36247863872493,[ 3852 44543 66573 53110 11197  7418  3815   594   348   550]
