Frame,Mean Temperature,Propagation,transition points,numer of above,gradient x,gradient y,std,histogram
0,78.94425520833333,0,1,109447,-5814.0,-25704.5,28.34770698798291,[10177 35781 66558 45354 21330  8800  3231   557   166    46]
1,78.94513020833334,0,1,109455,-5881.0,-25676.0,28.35028539564101,[10189 35772 66551 45370 21340  8772  3237   557   166    46]
2,78.9461875,0,1,109443,-5886.0,-25697.0,28.351961279275027,[10189 35771 66543 45380 21339  8768  3241   557   166    46]
3,78.94446875,0,1,109441,-5888.0,-25664.5,28.350806860010294,[10190 35770 66560 45353 21350  8770  3238   557   166    46]
4,78.94315625,0,1,109440,-5889.0,-25659.5,28.349867321054948,[10190 35770 66561 45352 21350  8772  3236   557   166    46]
5,78.93836979166667,0,1,109368,-5841.5,-25706.0,28.36022575443328,[10210 35797 66524 47174 20117  8169  3289   523   156    41]
6,78.9365,0,1,109369,-5843.5,-25740.0,28.35901750766412,[10213 35804 66527 47184 20092  8172  3288   523   156    41]
7,78.93307291666666,0,1,109357,-5843.5,-25740.0,28.358870414425596,[10213 35811 66535 47172 20089  8172  3288   523   156    41]
8,78.930875,0,1,109368,-5868.5,-25716.0,28.365466329107093,[10201 35815 66539 47208 20042  8180  3295   525   154    41]
9,78.92691666666667,0,1,109384,-5818.5,-25754.5,28.37410318834862,[10260 35777 66508 47253 20004  8188  3288   524   157    41]
10,78.92532291666667,0,1,109363,-5818.5,-25754.5,28.374850888005707,[10260 35783 66494 47267 19998  8188  3288   524   157    41]
11,78.92443229166666,0,1,109364,-5818.5,-25760.0,28.375078981912814,[10257 35790 66494 47262 19997  8189  3289   524   157    41]
12,78.92721354166666,0,1,109403,-5823.0,-25775.5,28.382973715295407,[10271 35790 66488 47255 19985  8199  3288   527   156    41]
13,78.92853645833334,0,1,109484,-5896.5,-25761.0,28.387407754211715,[ 9350 33729 67260 45804 22373  9167  3482   609   164    62]
14,78.93106770833333,0,1,109481,-5891.5,-25779.5,28.38499995239561,[ 9350 33726 67262 45804 22374  9163  3486   609   164    62]
15,78.93044791666667,0,1,109480,-5891.5,-25779.5,28.3835173708446,[ 9342 33731 67254 45817 22374  9161  3486   609   164    62]
16,78.93460416666667,0,1,109478,-5898.5,-25776.5,28.384536107740942,[ 9330 33743 67262 45804 22370  9175  3481   609   164    62]
17,78.94516666666667,0,1,109539,-6065.0,-25711.0,28.399952933744252,[ 9359 33780 67127 45825 22364  9193  3506   616   167    63]
18,78.944359375,0,1,109544,-6034.0,-25711.0,28.39831664898202,[ 9344 33795 67129 45821 22366  9193  3508   616   165    63]
19,78.943828125,0,1,109544,-6044.5,-25721.5,28.40108430169746,[ 9350 33796 67120 45823 22366  9193  3506   616   167    63]
20,78.93678645833333,0,1,109473,-5960.0,-25715.5,28.402170707943256,[ 9352 33816 67122 45812 22345  9197  3510   617   169    60]
21,78.93352083333333,0,1,109488,-6013.0,-25833.0,28.40154003489481,[ 9339 33828 67145 45824 22304  9206  3489   637   167    61]
22,78.93373958333333,0,1,109488,-6013.0,-25832.0,28.401396957553278,[ 9339 33818 67155 45824 22304  9206  3489   637   167    61]
23,78.945296875,0,1,109533,-6014.5,-25852.5,28.409174029289353,[ 9353 33809 67142 45807 22313  9200  3510   638   168    60]
24,78.93585416666667,0,1,109472,-6010.0,-25871.0,28.409752944990554,[ 9356 33837 67119 45817 22295  9203  3508   637   168    60]
25,78.92171875,0,1,109493,-5985.5,-25865.5,28.414603184440775,[ 9413 33833 67183 45746 22273  9174  3515   635   168    60]
26,78.91991666666667,0,1,109464,-5985.5,-25865.5,28.415561926106417,[ 9414 33845 67170 45747 22273  9178  3510   635   168    60]
27,78.91878645833333,0,1,109460,-5979.5,-25867.5,28.41788120302045,[ 9414 33846 67169 45747 22273  9176  3512   635   168    60]
28,78.92576041666666,0,1,109566,-5981.5,-25885.0,28.4171839324542,[ 9399 33872 67145 45770 22259  9171  3521   634   169    60]
29,78.90022916666666,0,1,109689,-5985.0,-25849.5,28.41805807840294,[ 9435 33890 67151 45768 22163  9206  3516   639   172    60]
30,78.88825520833333,0,1,109563,-5985.0,-25847.0,28.421028701940667,[ 9435 33943 67119 45743 22167  9205  3517   639   172    60]
31,78.87941666666667,-0.002190451388888922,1,109489,-5985.0,-25852.0,28.42277258337738,[ 9433 33974 67142 45691 22167  9204  3518   639   172    60]
32,78.880640625,-0.0021848958333331816,1,109501,-5996.5,-25895.5,28.433166669951945,[ 9440 33992 67136 45669 22168  9198  3525   640   172    60]
33,78.66628645833333,-0.009272743055555565,1,108478,-5902.5,-26167.5,28.46703292226129,[10599 36528 66228 46616 19758  8089  3461   515   164    42]
34,78.66778645833334,-0.009178993055555414,1,108474,-5904.5,-26165.0,28.4676988700246,[10601 36518 66244 46609 19758  8091  3458   515   164    42]
35,78.66443229166667,-0.00913125000000008,1,108495,-5905.0,-26164.0,28.470352151049884,[10655 36461 66252 46595 19769  8087  3460   515   164    42]
36,78.657375,-0.009304166666666447,1,108479,-5914.5,-26202.5,28.475732244480998,[10665 36487 66221 46560 19799  8091  3456   515   164    42]
37,78.62110416666667,-0.010398958333333042,1,108311,-5887.0,-26205.0,28.478213354495207,[10666 36586 66234 46478 19781  8095  3439   515   164    42]
38,78.59765104166667,-0.011107465277777824,1,108227,-5889.0,-26213.5,28.481987650514515,[10658 36684 66237 46395 19771  8096  3438   515   164    42]
39,78.591109375,-0.011193576388888953,1,108211,-5889.0,-26213.5,28.4820950905732,[10666 36690 66232 46390 19770  8093  3438   515   164    42]
40,78.60011458333334,-0.010840277777777867,1,108253,-5885.0,-26203.0,28.486484148689488,[10693 36642 66218 46397 19792  8077  3460   515   164    42]
41,78.57127604166666,-0.011771874999999928,1,108134,-5927.5,-26321.5,28.489250036505894,[10738 36712 66163 46368 19773  8047  3489   502   166    42]
42,78.56714583333333,-0.012002256944444411,1,108137,-5937.5,-26326.0,28.491984285416123,[10740 36782 66101 46358 19773  8047  3489   502   166    42]
43,78.56653645833333,-0.012066666666666967,1,108137,-5937.5,-26326.0,28.491824850584408,[10740 36782 66107 46352 19773  8047  3489   502   166    42]
44,78.57302604166667,-0.011934722222222168,1,108171,-5931.0,-26358.0,28.499419594041534,[ 8350 32942 70190 45092 22525  8690  3427   559   183    42]
45,78.567671875,-0.012092534722222107,1,108125,-5937.0,-26340.5,28.502348654991003,[ 8350 32963 70163 45103 22523  8688  3426   559   183    42]
46,78.567234375,-0.012245659722222513,1,108124,-5937.0,-26340.5,28.502464081294537,[ 8350 32964 70163 45102 22523  8688  3426   559   183    42]
47,78.56779166666666,-0.01257916666666669,1,108116,-5937.0,-26343.0,28.499787976520054,[ 8333 32984 70163 45099 22523  8688  3426   559   183    42]
48,78.569671875,-0.01248958333333358,1,108143,-5935.5,-26347.5,28.500884671880524,[ 8353 32967 70180 45077 22518  8695  3426   559   183    42]
49,78.70980729166666,-0.007800694444444408,1,108303,-5924.0,-26570.5,28.52985482467498,[10480 36816 66191 46379 19620  8128  3676   501   167    42]
50,78.9883125,0.001717534722222543,1,109042,-5989.5,-26617.0,28.46454828792611,[ 9896 36610 66499 44780 20895  8807  3711   573   183    46]
51,79.11099479166667,0.005915798611111237,1,109367,-5980.0,-26569.0,28.469951958709427,[ 9732 36490 66542 44693 21168  8809  3760   577   183    46]
52,79.14009895833334,0.006878645833333507,1,109369,-5967.0,-26531.0,28.469087811581538,[ 9718 36391 66553 44705 21244  8824  3759   577   183    46]
53,79.365375,0.014002604166666781,1,110016,-5907.5,-26572.0,28.448133745632155,[10380 38229 65719 44514 20302  8209  3847   569   185    46]
54,79.48765625,0.018393402777777606,1,110348,-5860.5,-26584.0,28.420124430266593,[10140 38120 65795 44645 20378  8280  3840   567   186    49]
55,79.51164583333333,0.0196642361111112,1,110398,-5859.5,-26603.5,28.42640039425615,[10112 38053 65825 44710 20342  8303  3848   572   186    49]
56,79.59167708333334,0.02239201388888906,1,110591,-5829.0,-26775.0,28.460087943101268,[10029 37919 65859 44732 20370  8359  3923   574   186    49]
57,79.68417708333334,0.025513020833333636,1,110991,-5837.5,-26742.5,28.455148473260657,[ 9893 37815 65911 44787 20473  8371  3939   572   190    49]
58,79.70023958333333,0.02581597222222219,1,111013,-5837.5,-26739.0,28.454665843687806,[ 9877 37801 65892 44832 20473  8361  3953   572   190    49]
59,79.76872916666666,0.028949999999999913,1,111113,-5810.5,-26823.0,28.45119438122618,[ 9781 37724 65875 44851 20618  8383  3956   571   192    49]
60,79.78138541666667,0.029771006944444404,1,111162,-5802.5,-26921.5,28.447596181352253,[ 9785 37701 65844 44910 20587  8397  3963   572   192    49]
